Famille de métiers;Métier;Tâche;Impact potentiel;Exemple
Finances et Comptabilité;Comptable;Gérer des comptes;moyen;générer des rapports de synthèse pour la gestion des comptes.
Finances et Comptabilité;Comptable;Analyser des données comptables;moyen;analyser et résumer les données comptables.
Finances et Comptabilité;Comptable;Faire des prévisions financières;moyen;analyser des données financières pour rédiger des prévisions de revenus et de dépenses.
Finances et Comptabilité;Comptable;Classer des documents comptables;faible;
Finances et Comptabilité;Comptable universitaire;Saisir les factures fournisseurs;faible;saisir automatiquement les informations contenues dans les factures fournisseurs.
Finances et Comptabilité;Comptable universitaire;Générer les bilans financiers trimestriels;fort;générer automatiquement les rapports financiers trimestriels en rédigeant les bilans à partir de données comptables fournies.
Finances et Comptabilité;Contrôleur de gestion;Analyser les données financières;moyen;analyser et résumer les données financières.
Finances et Comptabilité;Directeur financier;Élaborer des budgets;moyen;générer des projections de dépenses et des prévisions de revenus pour élaborer des budgets.
Finances et Comptabilité;Directeur financier;Analyser des données financières;moyen;analyser et résumer des données financières.
Finances et Comptabilité;Directeur financier;Préparer des rapports de gestion;moyen;rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.
Finances et Comptabilité;Directeur financier;Négocier des contrats;faible;Rédiger des modèles de contrats personnalisés en fonction des exigences spécifiques des parties impliquées.
Finances et Comptabilité;Responsable budgétaire;Élaborer le budget annuel de l'université;moyen;structurer les données financières pour élaborer le budget annuel de l'université.
Finances et Comptabilité;Trésorier;Suivre les encaissements et décaissements;moyen;enregistrer les encaissements et décaissements dans un tableau de suivi financier.
Finances et Comptabilité;Trésorier;Gérer des flux de trésorerie;moyen;générer des rapports de prévisions de trésorerie pour faciliter la planification financière.
Finances et Comptabilité;Trésorier;Faire des prévisions de trésorerie;moyen;générer des projections de trésorerie en analysant les données financières historiques et en appliquant des modèles prédictifs.
Informatique NTIC;Administrateur réseau;Gérer des réseaux;moyen;analyser les données de trafic pour optimiser la configuration des réseaux.
Informatique NTIC;Administrateur réseau;Préparer des rapports de maintenance;moyen;rédiger des rapports de maintenance en fonction des données techniques et des informations fournies.
Informatique NTIC;Administrateur réseau;Faire des prévisions de maintenance;moyen;analyser les données historiques de maintenance pour prédire les pannes futures et générer des calendriers de maintenance préventive.
Informatique NTIC;Administrateur réseau;Classer des documents de maintenance;faible;
Informatique NTIC;Administrateur système;Gérer les serveurs de l'université;faible;analyser les journaux de connexion pour détecter les problèmes de serveurs de l'université.
Informatique NTIC;Développeur web;Créer une nouvelle page web;fort;générer le contenu initial de la page web.
Informatique NTIC;Développeur web;Créer des applications web;moyen;générer du code pour créer des applications web.
Informatique NTIC;Développeur web;Gérer des bases de données web;moyen;structurer les données pour une meilleure organisation et recherche dans les bases de données web.
Informatique NTIC;Développeur web;Optimiser des sites web pour les moteurs de recherche;moyen;générer des métadonnées et des contenus de qualité pour optimiser les sites web pour les moteurs de recherche.
Informatique NTIC;Directeur des systèmes d'information;Élaborer des stratégies informatiques;moyen;générer des propositions de stratégies informatiques personnalisées en fonction des besoins et des objectifs spécifiques de l'entreprise.
Informatique NTIC;Directeur des systèmes d'information;Gérer des budgets informatiques;moyen;analyser les dépenses et rédiger des rapports de budget informatique détaillés.
Informatique NTIC;Directeur des systèmes d'information;Préparer des rapports de gestion;moyen;rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.
Informatique NTIC;Responsable informatique;Concevoir la stratégie de cybersécurité;fort;Rédiger un plan de cybersécurité personnalisé en fonction des besoins et des vulnérabilités spécifiques d'une organisation.
Informatique NTIC;Technicien support;Résoudre les problèmes informatiques des utilisateurs;moyen;diagnostiquer les problèmes informatiques des utilisateurs.
Informatique NTIC;Technicien support informatique;Installer les logiciels sur les postes de travail;moyen;Rédiger les instructions détaillées pour l'installation des logiciels sur les postes de travail.
Informatique NTIC;Technicien support informatique;Répondre aux tickets d'assistance des utilisateurs;moyen;Rédiger des réponses personnalisées et automatisées aux tickets d'assistance des utilisateurs.
Juridique;Assistant juridique;Rechercher des jurisprudences;moyen;résumer les jurisprudences pour faciliter leur analyse.
Juridique;Conseiller juridique;Analyser des données juridiques;moyen;résumer des documents juridiques pour faciliter leur analyse.
Juridique;Conseiller juridique;Rédiger les avis juridiques internes;fort;Rédiger les premières versions des avis juridiques internes en fonction de modèles et de données juridiques existantes.
Juridique;Conseiller juridique;Organiser les formations juridiques pour le personnel;moyen;structurer les programmes de formation juridique en fonction des besoins spécifiques du personnel.
Juridique;Conseiller juridique;Rédiger les contrats de collaboration;fort;rédiger les premières versions de contrats de collaboration en fonction de modèles et de données fournies.
Juridique;Conseiller juridique;Conseiller les départements sur la conformité réglementaire;fort;Rédiger des rapports de conformité réglementaire personnalisés pour les départements universitaires.
Juridique;Conseiller juridique;Gérer les litiges avec les fournisseurs;moyen;Rédiger des lettres de réclamation et de négociation pour les litiges avec les fournisseurs.
Juridique;Conseiller juridique;Conseiller les services de l'université sur des questions juridiques;moyen;Rédiger des réponses personnalisées à des questions juridiques fréquentes pour conseiller les services de l'université.
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Encadrer des étudiants;faible;Rédiger des réponses personnalisées pour aider les étudiants à résoudre leurs problèmes ou questions spécifiques.
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Participer à des comités d'orientation;faible;Rédiger des rapports de synthèse pour les comités d'orientation en analysant les données et les tendances à l'université.
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Rédiger des rapports d'orientation;moyen;Rédiger des rapports d'orientation personnalisés en fonction des données fournies.
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Créer des plans d'orientation;fort;générer des plans d'orientation personnalisés en fonction des objectifs et des besoins spécifiques des étudiants.
Pédagogie et accompagnement des étudiants;Conseiller pédagogique;Accompagner les étudiants dans la construction de leur projet de recherche;fort;structurer les idées et les objectifs de recherche pour les étudiants.
Pédagogie et accompagnement des étudiants;Conseiller pédagogique;Analyser les résultats d'évaluation des cours;moyen;résumer les résultats d'évaluation des cours.
Pédagogie et accompagnement des étudiants;Conseiller pédagogique;Organiser les ateliers de tutorat;faible;structurer les programmes de tutorat en créant des plans de cours personnalisés pour les ateliers.
Pédagogie et accompagnement des étudiants;Ingénieur pédagogique;Concevoir les parcours d'apprentissage en ligne;fort;structurer les contenus pédagogiques pour concevoir les parcours d'apprentissage en ligne.
Pédagogie et accompagnement des étudiants;Ingénieur pédagogique;Évaluer l'efficacité des outils pédagogiques;moyen;analyser les données d'utilisation et les résultats d'apprentissage pour évaluer l'efficacité des outils pédagogiques.
Pédagogie et accompagnement des étudiants;Ingénieur pédagogique;Former les enseignants aux nouvelles technologies;moyen;Rédiger des guides pédagogiques personnalisés pour former les enseignants aux nouvelles technologies.
Pédagogie et accompagnement des étudiants;Tuteur;Donner des conseils pédagogiques;faible;Rédiger des plans de cours personnalisés en fonction des objectifs pédagogiques et des besoins des étudiants.
Pédagogie et accompagnement des étudiants;Tuteur;Encadrer des étudiants;faible;Rédiger des réponses personnalisées aux questions fréquentes des étudiants pour les encadrer de manière efficace.
Pédagogie et accompagnement des étudiants;Tuteur;Participer à des comités pédagogiques;faible;Rédiger des rapports de réunion et des procès-verbaux pour les comités pédagogiques.
Pédagogie et accompagnement des étudiants;Tuteur;Rédiger des rapports pédagogiques;moyen;Rédiger des rapports pédagogiques détaillés et personnalisés à l'aide de données spécifiques sur les étudiants.
Pédagogie et accompagnement des étudiants;Tuteur;Créer des plans de formation;fort;générer des plans de formation personnalisés en fonction des objectifs et des besoins spécifiques des étudiants.
Pédagogie et accompagnement des étudiants (ingénierie pédagogique);Chargé d'orientation;Accompagner les étudiants dans leur choix de formation;moyen;proposer des parcours de formation personnalisés en analysant les intérêts et les objectifs des étudiants.
Pédagogie et accompagnement des étudiants (ingénierie pédagogique);Ingénieur pédagogique;Concevoir un programme de formation;moyen;générer des contenus de cours et des plans de formation pour le programme de formation.
Pédagogie et accompagnement des étudiants (ingénierie pédagogique);Responsable d'un centre d'aide aux étudiants;Organiser des ateliers d'aide aux étudiants;moyen;Rédiger des réponses personnalisées aux questions fréquentes des étudiants pour préparer les ateliers d'aide.
Recherche et ingénierie;Chercheur;Rédiger un article scientifique;moyen;Rédiger un article scientifique en générant des contenus de base et en structurant les idées de recherche.
Recherche et ingénierie;Chercheur;Mener des recherches;fort;résumer des articles de recherche
Recherche et ingénierie;Chercheur;Rédiger des articles de recherche;fort;Rédiger des brouillons d'articles de recherche en générant du contenu basé sur des données et des informations fournies.
Recherche et ingénierie;Chercheur;Participer à des conférences internationales;faible;Rédiger des résumés de conférences ou des articles de recherche pour préparer les interventions orales lors de conférences internationales.
Recherche et ingénierie;Chercheur;Encadrer des étudiants en recherche;faible;structurer des plans de recherche pour les étudiants.
Recherche et ingénierie;Chercheur;Présenter les résultats aux conférences internationales;fort;Rédiger, traduire des résumés de présentation pour les conférences internationales
Recherche et ingénierie;Directeur de recherche;Élaborer des stratégies de recherche;moyen;générer des propositions de stratégies de recherche personnalisées en fonction des objectifs et des besoins spécifiques de l'utilisateur.
Recherche et ingénierie;Directeur de recherche;Gérer des budgets de recherche;moyen;calculer les dépenses et les revenus pour établir des prévisions budgétaires précises.
Recherche et ingénierie;Directeur de recherche;Négocier des contrats de recherche;faible;Rédiger les premières versions de contrats de recherche en fonction de modèles et de clauses standards pour accélérer le processus de négociation.
Recherche et ingénierie;Directeur de recherche;Préparer des rapports de gestion;moyen;rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles prédéfinis.
Recherche et ingénierie;Ingénieur de recherche;Analyser des données de recherche;fort;résumer les données de recherche pour en extraire les informations clés.
Recherche et ingénierie;Ingénieur de recherche;Concevoir les protocoles expérimentaux;fort;Rédiger les protocoles expérimentaux détaillés pour les tests et les validations nécessaires.
Recherche et ingénierie;Ingénieur de recherche;Analyser les données expérimentales;fort;analyser et résumer les données expérimentales.
Recherche et ingénierie;Ingénieur de recherche;Rédiger des rapports de recherche;moyen;rédiger des rapports de recherche.
Recherche et ingénierie;Ingénieur de recherche;Préparer des présentations de recherche;moyen;rédiger des contenus de présentation de recherche.
Ressources humaines;Chargé de recrutement;Trier les CV reçus;moyen;classer les CV reçus en fonction de critères prédéfinis tels que les compétences, l'expérience et les qualifications.
Ressources humaines;Directeur des ressources humaines;Élaborer des stratégies de recrutement;moyen;générer des descriptions de poste personnalisées pour les stratégies de recrutement.
Ressources humaines;Directeur des ressources humaines;Superviser des équipes de recrutement;faible;automatiser la rédaction de lettres de refus ou d'acceptation pour les candidats.
Ressources humaines;Directeur des ressources humaines;Gérer des budgets de formation;moyen;calculer les coûts de formation et proposer des répartitions budgétaires optimales.
Ressources humaines;Directeur des ressources humaines;Négocier des contrats de travail;faible;Rédiger des modèles de contrats de travail personnalisés en fonction des exigences spécifiques de l'entreprise.
Ressources humaines;Directeur des ressources humaines;Préparer des rapports de gestion;moyen;rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.
Ressources humaines;Formateur;Créer des plans de formation;fort;générer des plans de formation personnalisés en fonction des objectifs et des besoins spécifiques des agents. 
Ressources humaines;Formateur;Donner des formations;faible;Rédiger des contenus pédagogiques personnalisés pour les formations 
Ressources humaines;Formateur;Évaluer des formations;moyen;évaluer et rédiger des rapports de formation en analysant les données et les retours d'expérience.
Ressources humaines;Formateur;Participer à des comités de formation;faible;Rédiger des rapports de réunion et des procès-verbaux pour les comités de formation.
Ressources humaines;Responsable de la formation;Organiser des formations pour les personnels;moyen;Rédiger des contenus de formation personnalisés pour les personnels en fonction de leurs besoins spécifiques.
Ressources humaines;Responsable de recrutement;Lancer des campagnes de recrutement;moyen;Rédiger des descriptions de postes et des offres d'emploi personnalisées pour les campagnes de recrutement.
Ressources humaines;Responsable de recrutement;Analyser des CV;moyen;analyser et résumer les informations clés présentes dans les CV.
Ressources humaines;Responsable de recrutement;Organiser des entretiens de recrutement;faible;rédiger des questions d'entretien personnalisées pour les candidats en fonction des exigences du poste à pourvoir.
Ressources humaines;Responsable de recrutement;Préparer des offres d'emploi;moyen;Rédiger des descriptions de postes et des exigences pour les offres d'emploi.
Ressources humaines;Responsable de recrutement;Superviser des équipes de recrutement;faible;automatiser la rédaction de lettres de refus ou d'acceptation pour les candidats.
Ressources humaines;Responsable RH;Élaborer les fiches de poste;moyen;Rédiger les descriptions de poste et les exigences spécifiques pour les futurs employés en fonction des besoins de l'entreprise.
Ressources humaines;Responsable RH;Mettre en place les procédures d'évaluation de performance;moyen;générer des rapports de performance détaillés pour évaluer les résultats des processus universitaires.
Ressources humaines;Responsable RH;Organiser les séances de formation interne;faible;structurer les contenus de formation en créant des plans de cours détaillés pour les séances de formation interne.
Scolarité et gestion des étudiants;Conseiller pédagogique;Accompagner les étudiants dans leur parcours scolaire;moyen;Rédiger des plans de révision personnalisés pour les étudiants en fonction de leurs objectifs et de leurs progrès scolaires.
Scolarité et gestion des étudiants;Coordinateur d'inscription;Enregistrer les nouvelles inscriptions dans le système;faible;Le chatbot IA peut automatiser l'enregistrement des nouvelles inscriptions en les saisissant directement dans le système.
Scolarité et gestion des étudiants;Coordinateur d'inscription;Répondre aux demandes d'information des futurs étudiants;fort;rédiger des réponses personnalisées aux demandes d'information des futurs étudiants.
Scolarité et gestion des étudiants;Gestionnaire de bourse;Gérer des dossiers de bourse;moyen;structurer les informations personnelles et scolaires des candidats pour gérer efficacement les dossiers de bourse.
Scolarité et gestion des étudiants;Gestionnaire de bourse;Préparer des rapports de bourse;moyen;rédiger les rapports de bourse en fonction des données financières fournies.
Scolarité et gestion des étudiants;Responsable d'inscription;Gérer les inscriptions des étudiants;moyen;automatiser la réponse aux questions fréquentes des étudiants sur les inscriptions.
Scolarité et gestion des étudiants;Responsable scolarité;Gérer les dossiers de validation des crédits;moyen;automatiser la vérification des informations dans les dossiers de validation des crédits.
Scolarité et gestion des étudiants;Responsable scolarité;Organiser les séances d'orientation des nouveaux étudiants;moyen;Rédiger des réponses personnalisées aux questions fréquentes des nouveaux étudiants pour les séances d'orientation.
Scolarité et gestion des étudiants;Secrétaire de scolarité;Gérer des dossiers d'inscription;moyen;structurer les informations des dossiers d'inscription.
Scolarité et gestion des étudiants;Secrétaire de scolarité;Répondre aux demandes d'information;moyen;rédiger des réponses personnalisées aux demandes d'information.
