Famille de métiers,Métier,Tâche,Impact potentiel,Exemple
Finances et Comptabilité,Responsable budgétaire,Élaborer le budget annuel de l'université,moyen,Un chatbot IA de type ChatGPT peut structurer les données financières pour élaborer le budget annuel de l'université.
Finances et Comptabilité,Trésorier,Établir le budget annuel de l'université,fort,Un chatbot IA de type ChatGPT peut structurer les données financières pour établir le budget annuel de l'université.
Finances et Comptabilité,Trésorier,Suivre les encaissements et décaissements,moyen,Un chatbot IA de type ChatGPT peut enregistrer les encaissements et décaissements dans un tableau de suivi financier.
Finances et Comptabilité,Trésorier,Préparer les déclarations fiscales,moyen,Un chatbot IA de type ChatGPT peut rédiger les déclarations fiscales en fonction des informations fournies par l'utilisateur.
Finances et Comptabilité,Trésorier,Gérer des flux de trésorerie,moyen,Un chatbot IA de type ChatGPT peut générer des rapports de prévisions de trésorerie pour faciliter la planification financière.
Finances et Comptabilité,Trésorier,Préparer des rapports de trésorerie,moyen,Un chatbot IA de type ChatGPT peut générer des rapports de trésorerie automatisés en rédigeant des synthèses de données financières.
Finances et Comptabilité,Trésorier,Négocier des contrats de crédit,faible,Rédiger des modèles de contrats de crédit personnalisés en fonction des exigences spécifiques des clients et des réglementations financières.
Finances et Comptabilité,Trésorier,Superviser des équipes de trésorerie,faible,Un chatbot IA de type ChatGPT peut automatiser la génération de rapports de trésorerie.
Finances et Comptabilité,Trésorier,Faire des prévisions de trésorerie,moyen,Un chatbot IA de type ChatGPT peut générer des projections de trésorerie en analysant les données financières historiques et en appliquant des modèles prédictifs.
Informatique NTIC,Administrateur réseau,Gérer des réseaux,moyen,Un chatbot IA de type ChatGPT peut analyser les données de trafic pour optimiser la configuration des réseaux.
Informatique NTIC,Administrateur réseau,Superviser des équipes de maintenance,faible,Un chatbot IA de type ChatGPT peut générer des rapports de maintenance pour superviser des équipes de maintenance.
Informatique NTIC,Administrateur réseau,Préparer des rapports de maintenance,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de maintenance en fonction des données techniques et des informations fournies.
Informatique NTIC,Administrateur réseau,Faire des prévisions de maintenance,moyen,Un chatbot IA de type ChatGPT peut analyser les données historiques de maintenance pour prédire les pannes futures et générer des calendriers de maintenance préventive.
Informatique NTIC,Administrateur réseau,Classer des documents de maintenance,faible,Un chatbot IA de type ChatGPT peut **classer** des documents de maintenance en fonction de leur contenu et de leurs métadonnées.
Informatique NTIC,Administrateur système,Gérer les serveurs de l'université,faible,Un chatbot IA de type ChatGPT peut analyser les journaux de connexion pour détecter les problèmes de serveurs de l'université.
Informatique NTIC,Développeur web,Créer une nouvelle page web,fort,Un chatbot IA de type ChatGPT peut générer le contenu initial de la page web.
Informatique NTIC,Développeur web,Créer des applications web,moyen,Un chatbot IA de type ChatGPT peut générer du code pour créer des applications web.
Informatique NTIC,Développeur web,Mettre à jour des sites web,moyen,Un chatbot IA de type ChatGPT peut rédiger du contenu pour mettre à jour des sites web.
Informatique NTIC,Développeur web,Gérer des bases de données web,moyen,Un chatbot IA de type ChatGPT peut structurer les données pour une meilleure organisation et recherche dans les bases de données web.
Informatique NTIC,Développeur web,Optimiser des sites web pour les moteurs de recherche,moyen,Un chatbot IA de type ChatGPT peut générer des métadonnées et des contenus de qualité pour optimiser les sites web pour les moteurs de recherche.
Informatique NTIC,Développeur web,Superviser des équipes de développement web,faible,Rédiger des rapports de suivi et d'avancement pour les équipes de développement web.
Informatique NTIC,Directeur des systèmes d'information,Élaborer des stratégies informatiques,moyen,Un chatbot IA de type ChatGPT peut générer des propositions de stratégies informatiques personnalisées en fonction des besoins et des objectifs spécifiques de l'entreprise.
Informatique NTIC,Directeur des systèmes d'information,Superviser des équipes informatiques,faible,Un chatbot IA de type ChatGPT peut structurer des rapports de projet pour les équipes informatiques.
Informatique NTIC,Directeur des systèmes d'information,Gérer des budgets informatiques,moyen,Un chatbot IA de type ChatGPT peut analyser les dépenses et rédiger des rapports de budget informatique détaillés.
Informatique NTIC,Directeur des systèmes d'information,Négocier des contrats de maintenance,faible,Rédiger des modèles de contrats de maintenance personnalisés en fonction des besoins spécifiques des clients et des entreprises.
Informatique NTIC,Directeur des systèmes d'information,Préparer des rapports de gestion,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de gestion en générant automatiquement des textes basés sur des données et des modèles préétablis.
Informatique NTIC,Responsable informatique,Concevoir la stratégie de cybersécurité,fort,Rédiger un plan de cybersécurité personnalisé en fonction des besoins et des vulnérabilités spécifiques d'une organisation.
Informatique NTIC,Responsable informatique,Superviser la maintenance des serveurs,moyen,Analyser les journaux de serveurs pour détecter les problèmes potentiels et générer des rapports de maintenance.
Informatique NTIC,Responsable informatique,Mettre à jour les licences logicielles,faible,Un chatbot IA de type ChatGPT peut répertorier les licences logicielles à mettre à jour.
Informatique NTIC,Technicien support,Résoudre les problèmes informatiques des utilisateurs,moyen,Un chatbot IA de type ChatGPT peut diagnostiquer les problèmes informatiques des utilisateurs.
Informatique NTIC,Technicien support informatique,Diagnostiquer les pannes de matériel,faible,Un chatbot IA de type ChatGPT peut analyser les symptômes de panne pour rédiger un diagnostic préliminaire du matériel.
Informatique NTIC,Technicien support informatique,Installer les logiciels sur les postes de travail,moyen,Rédiger les instructions détaillées pour l'installation des logiciels sur les postes de travail.
Informatique NTIC,Technicien support informatique,Répondre aux tickets d'assistance des utilisateurs,moyen,Rédiger des réponses personnalisées et automatisées aux tickets d'assistance des utilisateurs.
Juridique,Assistant juridique,Rechercher des jurisprudences,moyen,Un chatbot IA de type ChatGPT peut résumer les jurisprudences pour faciliter leur analyse.
Juridique,Avocat,Rédiger un contrat,fort,Rédiger un contrat.
Juridique,Avocat,Plaider des affaires,faible,Rédiger des arguments et des contre-arguments pour plaider des affaires.
Juridique,Avocat,Rédiger des mémoires,fort,Un chatbot IA de type ChatGPT peut rédiger des mémoires.
Juridique,Avocat,Analyser des données juridiques,moyen,Un chatbot IA de type ChatGPT peut résumer des documents juridiques pour faciliter leur analyse.
Juridique,Avocat,Préparer des dossiers juridiques,moyen,Un chatbot IA de type ChatGPT peut rédiger des documents juridiques de base pour préparer des dossiers juridiques.
Juridique,Avocat,Négocier des contrats,faible,Un chatbot IA de type ChatGPT peut rédiger les premières versions de contrats en fonction de modèles et de clauses standardisées.
Juridique,Conseiller juridique,Analyser les dossiers de propriété intellectuelle,fort,Un chatbot IA de type ChatGPT peut résumer les dossiers de propriété intellectuelle.
Juridique,Conseiller juridique,Rédiger les avis juridiques internes,fort,Rédiger les premières versions des avis juridiques internes en fonction de modèles et de données juridiques existantes.
Juridique,Conseiller juridique,Organiser les formations juridiques pour le personnel,moyen,Un chatbot IA de type ChatGPT peut structurer les programmes de formation juridique en fonction des besoins spécifiques du personnel.
Juridique,Conseiller juridique,Rédiger des avis juridiques,fort,Rédiger des avant-projets d'avis juridiques en analysant les données fournies et en appliquant les règles de droit pertinentes.
Juridique,Conseiller juridique,Analyser des données juridiques,moyen,Un chatbot IA de type ChatGPT peut résumer des documents juridiques pour faciliter leur analyse.
Juridique,Conseiller juridique,Préparer des dossiers juridiques,moyen,Un chatbot IA de type ChatGPT peut rédiger des documents juridiques de base pour préparer des dossiers juridiques.
Juridique,Conseiller juridique,Négocier des contrats,faible,Un chatbot IA de type ChatGPT peut rédiger les premières versions de contrats en fonction de modèles et de clauses standardisées.
Juridique,Conseiller juridique,Superviser des équipes juridiques,faible,Un chatbot IA de type ChatGPT peut analyser et résumer les documents juridiques pour les équipes juridiques.
Juridique,Juriste,Rédiger des contrats,fort,Rédiger des contrats.
Juridique,Juriste,Analyser des données juridiques,moyen,Un chatbot IA de type ChatGPT peut résumer des documents juridiques pour faciliter leur analyse.
Juridique,Juriste,Préparer des dossiers juridiques,moyen,Un chatbot IA de type ChatGPT peut rédiger des documents juridiques de base pour préparer des dossiers juridiques.
Juridique,Juriste,Négocier des contrats,faible,Rédiger des modèles de contrats personnalisés en fonction des exigences spécifiques des parties impliquées.
Juridique,Juriste,Superviser des équipes juridiques,faible,Un chatbot IA de type ChatGPT peut analyser et structurer les documents juridiques pour les équipes juridiques.
Juridique,Juriste universitaire,Rédiger les contrats de collaboration,fort,Un chatbot IA de type ChatGPT peut rédiger les premières versions de contrats de collaboration en fonction de modèles et de données fournies.
Juridique,Juriste universitaire,Conseiller les départements sur la conformité réglementaire,fort,Rédiger des rapports de conformité réglementaire personnalisés pour les départements universitaires.
Juridique,Juriste universitaire,Gérer les litiges avec les fournisseurs,moyen,Rédiger des lettres de réclamation et de négociation pour les litiges avec les fournisseurs.
Juridique,Responsable juridique,Conseiller les services de l'université sur des questions juridiques,moyen,Rédiger des réponses personnalisées à des questions juridiques fréquentes pour conseiller les services de l'université.
Pédagogie et accompagnement des étudiants,Conseiller d'orientation,Donner des conseils d'orientation,faible,Rédiger des lettres de motivation personnalisées pour les étudiants en fonction de leurs intérêts et de leurs objectifs académiques.
Pédagogie et accompagnement des étudiants,Conseiller d'orientation,Encadrer des étudiants,faible,Rédiger des réponses personnalisées pour aider les étudiants à résoudre leurs problèmes ou questions spécifiques.
Pédagogie et accompagnement des étudiants,Conseiller d'orientation,Participer à des comités d'orientation,faible,Rédiger des rapports de synthèse pour les comités d'orientation en analysant les données et les tendances liées aux usages de l'IA à l'université.
Pédagogie et accompagnement des étudiants,Conseiller d'orientation,Rédiger des rapports d'orientation,moyen,Rédiger des rapports d'orientation personnalisés en fonction des données fournies.
Pédagogie et accompagnement des étudiants,Conseiller d'orientation,Créer des plans d'orientation,fort,Un chatbot IA de type ChatGPT peut générer des plans d'orientation personnalisés en fonction des objectifs et des besoins spécifiques des étudiants.
Pédagogie et accompagnement des étudiants,Conseiller pédagogique,Accompagner les étudiants dans la construction de leur projet de recherche,fort,Un chatbot IA de type ChatGPT peut structurer les idées et les objectifs de recherche pour les étudiants.
Pédagogie et accompagnement des étudiants,Conseiller pédagogique,Analyser les résultats d'évaluation des cours,moyen,Un chatbot IA de type ChatGPT peut résumer les résultats d'évaluation des cours.
Pédagogie et accompagnement des étudiants,Conseiller pédagogique,Organiser les ateliers de tutorat,faible,Un chatbot IA de type ChatGPT peut structurer les programmes de tutorat en créant des plans de cours personnalisés pour les ateliers.
Pédagogie et accompagnement des étudiants,Ingénieur pédagogique,Concevoir les parcours d'apprentissage en ligne,fort,Un chatbot IA de type ChatGPT peut structurer les contenus pédagogiques pour concevoir les parcours d'apprentissage en ligne.
Pédagogie et accompagnement des étudiants,Ingénieur pédagogique,Évaluer l'efficacité des outils pédagogiques,moyen,Un chatbot IA de type ChatGPT peut analyser les données d'utilisation et les résultats d'apprentissage pour évaluer l'efficacité des outils pédagogiques.
Pédagogie et accompagnement des étudiants,Ingénieur pédagogique,Former les enseignants aux nouvelles technologies,moyen,Rédiger des guides pédagogiques personnalisés pour former les enseignants aux nouvelles technologies.
Pédagogie et accompagnement des étudiants,Pédagogue,Créer des plans de formation,fort,Un chatbot IA de type ChatGPT peut générer des plans de formation personnalisés en fonction des objectifs et des besoins spécifiques des étudiants.
Pédagogie et accompagnement des étudiants,Pédagogue,Donner des conseils pédagogiques,faible,Rédiger des plans de cours personnalisés en fonction des objectifs pédagogiques et des besoins des étudiants.
Pédagogie et accompagnement des étudiants,Pédagogue,Encadrer des étudiants,faible,Rédiger des réponses personnalisées pour aider les étudiants à comprendre les concepts et les exercices.
Pédagogie et accompagnement des étudiants,Pédagogue,Participer à des comités pédagogiques,faible,Rédiger des rapports de réunion et des procès-verbaux pour les comités pédagogiques.
Pédagogie et accompagnement des étudiants,Pédagogue,Rédiger des rapports pédagogiques,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports pédagogiques.
Pédagogie et accompagnement des étudiants,Tuteur,Donner des conseils pédagogiques,faible,Rédiger des plans de cours personnalisés en fonction des objectifs pédagogiques et des besoins des étudiants.
Pédagogie et accompagnement des étudiants,Tuteur,Encadrer des étudiants,faible,Rédiger des réponses personnalisées aux questions fréquentes des étudiants pour les encadrer de manière efficace.
Pédagogie et accompagnement des étudiants,Tuteur,Participer à des comités pédagogiques,faible,Rédiger des rapports de réunion et des procès-verbaux pour les comités pédagogiques.
Pédagogie et accompagnement des étudiants,Tuteur,Rédiger des rapports pédagogiques,moyen,Rédiger des rapports pédagogiques détaillés et personnalisés à l'aide de données spécifiques sur les étudiants.
Pédagogie et accompagnement des étudiants,Tuteur,Créer des plans de formation,fort,Un chatbot IA de type ChatGPT peut générer des plans de formation personnalisés en fonction des objectifs et des besoins spécifiques des étudiants.
Pédagogie et accompagnement des étudiants (ingénierie pédagogique),Chargé d'orientation,Accompagner les étudiants dans leur choix de formation,moyen,Un chatbot IA de type ChatGPT peut proposer des parcours de formation personnalisés en analysant les intérêts et les objectifs des étudiants.
Pédagogie et accompagnement des étudiants (ingénierie pédagogique),Ingénieur pédagogique,Concevoir un programme de formation,moyen,Un chatbot IA de type ChatGPT peut générer des contenus de cours et des plans de formation pour le programme de formation.
Pédagogie et accompagnement des étudiants (ingénierie pédagogique),Responsable d'un centre d'aide aux étudiants,Organiser des ateliers d'aide aux étudiants,moyen,Rédiger des réponses personnalisées aux questions fréquentes des étudiants pour préparer les ateliers d'aide.
Recherche et ingénierie,Chercheur,Rédiger un article scientifique,moyen,Rédiger un article scientifique en générant des contenus de base et en structurant les idées de recherche.
Recherche et ingénierie,Chercheur,Mener des recherches,fort,Un chatbot IA de type ChatGPT peut résumer des articles de recherche pour cette tâche.
Recherche et ingénierie,Chercheur,Rédiger des articles de recherche,fort,Rédiger des brouillons d'articles de recherche en générant du contenu basé sur des données et des informations fournies.
Recherche et ingénierie,Chercheur,Préparer des rapports de recherche,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de recherche.
Recherche et ingénierie,Chercheur,Participer à des conférences internationales,faible,Rédiger des résumés de conférences ou des articles de recherche pour préparer les interventions orales lors de conférences internationales.
Recherche et ingénierie,Chercheur,Encadrer des étudiants en recherche,faible,Un chatbot IA de type ChatGPT peut structurer des plans de recherche pour les étudiants.
Recherche et ingénierie,Chercheur postdoctoral,Rédiger les articles scientifiques,fort,Rédiger les premières versions d'articles scientifiques en générant du contenu basé sur des recherches et des données existantes.
Recherche et ingénierie,Chercheur postdoctoral,Présenter les résultats aux conférences internationales,fort,Rédiger des résumés de présentation pour les conférences internationales.
Recherche et ingénierie,Chercheur postdoctoral,Superviser les assistants de recherche,moyen,Un chatbot IA de type ChatGPT peut rédiger des rapports de recherche pour les assistants de recherche.
Recherche et ingénierie,Directeur de recherche,Élaborer des stratégies de recherche,moyen,Un chatbot IA de type ChatGPT peut générer des propositions de stratégies de recherche personnalisées en fonction des objectifs et des besoins spécifiques de l'utilisateur.
Recherche et ingénierie,Directeur de recherche,Superviser des équipes de recherche,faible,Rédiger des rapports de synthèse pour évaluer les progrès des équipes de recherche.
Recherche et ingénierie,Directeur de recherche,Gérer des budgets de recherche,moyen,Un chatbot IA de type ChatGPT peut calculer les dépenses et les revenus pour établir des prévisions budgétaires précises.
