Famille;Métier;Tâche;Impact
Pédagogie et accompagnement des étudiants;Coordinateur de formation;Planification des modules;moyen
Pédagogie et accompagnement des étudiants;Coordinateur de formation;Gestion des inscriptions;faible
Pédagogie et accompagnement des étudiants;Coordinateur de formation;Élaboration de programmes;moyen
Recherche et ingénierie;Chercheur postdoctoral;Rédaction de manuscrits;moyen
Recherche et ingénierie;Chercheur postdoctoral;Analyse de données expérimentales;fort
Recherche et ingénierie;Chercheur postdoctoral;Synthèse de littérature;moyen
Recherche et ingénierie;Ingénieur de recherche;Modélisation prédictive;fort
Recherche et ingénierie;Ingénieur de recherche;Simulation automatisée;fort
Recherche et ingénierie;Ingénieur de recherche;Documentation de protocoles;moyen
Recherche et ingénierie;Chef de projet R&D;Gestion de projet;moyen
Recherche et ingénierie;Chef de projet R&D;Évaluation des risques;fort
Recherche et ingénierie;Chef de projet R&D;Rapports d'avancement;moyen
Ressources humaines;Responsable RH;Recrutement automatisé;fort
Ressources humaines;Responsable RH;Analyse des performances;moyen
Ressources humaines;Responsable RH;Gestion des dossiers RH;faible
Ressources humaines;Chargé de recrutement;Tri des CV;fort
Ressources humaines;Chargé de recrutement;Entretien virtuel;moyen
Ressources humaines;Chargé de recrutement;Suivi des candidatures;faible
Ressources humaines;Gestionnaire de formation;Planification des formations;moyen
Ressources humaines;Gestionnaire de formation;Évaluation des compétences;moyen
Ressources humaines;Gestionnaire de formation;Création de contenus de formation;moyen
Scolarité et gestion des étudiants;Responsable scolarité;Gestion des inscriptions;faible
Scolarité et gestion des étudiants;Responsable scolarité;Suivi des dossiers étudiants;moyen
Scolarité et gestion des étudiants;Responsable scolarité;Élaboration de plannings;faible
Scolarité et gestion des étudiants;Conseiller d'orientation;Orientation personnalisée;fort
Scolarité et gestion des étudiants;Conseiller d'orientation;Analyse des parcours;moyen
Scolarité et gestion des étudiants;Conseiller d'orientation;Rédaction de dossiers d'admission;faible
Scolarité et gestion des étudiants;Gestionnaire de dossiers étudiants;Traitement des demandes;faible
Scolarité et gestion des étudiants;Gestionnaire de dossiers étudiants;Mise à jour des dossiers;faible
Scolarité et gestion des étudiants;Gestionnaire de dossiers étudiants;Gestion des documents;faible
