Famille de métier;Métier type;Tâche typique;Niveau d'impact potentiel
Informatique NTIC;Directeur des systèmes d'information;Élaborer des stratégies informatiques;moyen
Informatique NTIC;Directeur des systèmes d'information;Superviser des équipes informatiques;faible
Informatique NTIC;Directeur des systèmes d'information;Gérer des budgets informatiques;moyen
Informatique NTIC;Directeur des systèmes d'information;Négocier des contrats de maintenance;faible
Informatique NTIC;Directeur des systèmes d'information;Préparer des rapports de gestion;moyen
Informatique NTIC;Administrateur réseau;Gérer des réseaux;moyen
Informatique NTIC;Administrateur réseau;Superviser des équipes de maintenance;faible
Informatique NTIC;Administrateur réseau;Préparer des rapports de maintenance;moyen
Informatique NTIC;Administrateur réseau;Faire des prévisions de maintenance;moyen
Informatique NTIC;Administrateur réseau;Classer des documents de maintenance;faible
Informatique NTIC;Développeur web;Créer des applications web;fort
Informatique NTIC;Développeur web;Mettre à jour des sites web;moyen
Informatique NTIC;Développeur web;Gérer des bases de données web;moyen
Informatique NTIC;Développeur web;Optimiser des sites web pour les moteurs de recherche;moyen
Informatique NTIC;Développeur web;Superviser des équipes de développement web;faible
Juridique;Juriste;Rédiger des contrats;fort
Juridique;Juriste;Analyser des données juridiques;moyen
Juridique;Juriste;Préparer des dossiers juridiques;moyen
Juridique;Juriste;Négocier des contrats;faible
Juridique;Juriste;Superviser des équipes juridiques;faible
Juridique;Avocat;Plaider des affaires;faible
Juridique;Avocat;Rédiger des mémoires;fort
Juridique;Avocat;Analyser des données juridiques;moyen
Juridique;Avocat;Préparer des dossiers juridiques;moyen
Juridique;Avocat;Négocier des contrats;faible
Juridique;Conseiller juridique;Rédiger des avis juridiques;fort
Juridique;Conseiller juridique;Analyser des données juridiques;moyen
Juridique;Conseiller juridique;Préparer des dossiers juridiques;moyen
Juridique;Conseiller juridique;Négocier des contrats;faible
Juridique;Conseiller juridique;Superviser des équipes juridiques;faible
Pédagogie et accompagnement des étudiants;Pédagogue;Créer des plans de formation;fort
Pédagogie et accompagnement des étudiants;Pédagogue;Donner des conseils pédagogiques;faible
Pédagogie et accompagnement des étudiants;Pédagogue;Encadrer des étudiants;faible
Pédagogie et accompagnement des étudiants;Pédagogue;Participer à des comités pédagogiques;faible
Pédagogie et accompagnement des étudiants;Pédagogue;Rédiger des rapports pédagogiques;moyen
Pédagogie et accompagnement des étudiants;Tuteur;Donner des conseils pédagogiques;faible
Pédagogie et accompagnement des étudiants;Tuteur;Encadrer des étudiants;faible
Pédagogie et accompagnement des étudiants;Tuteur;Participer à des comités pédagogiques;faible
Pédagogie et accompagnement des étudiants;Tuteur;Rédiger des rapports pédagogiques;moyen
Pédagogie et accompagnement des étudiants;Tuteur;Créer des plans de formation;fort
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Donner des conseils d'orientation;faible
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Encadrer des étudiants;faible
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Participer à des comités d'orientation;faible
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Rédiger des rapports d'orientation;moyen
Pédagogie et accompagnement des étudiants;Conseiller d'orientation;Créer des plans d'orientation;fort
Recherche et ingénierie;Chercheur;Mener des recherches;fort
Recherche et ingénierie;Chercheur;Rédiger des articles de recherche;fort
Recherche et ingénierie;Chercheur;Préparer des rapports de recherche;moyen
Recherche et ingénierie;Chercheur;Participer à des conférences internationales;faible
Recherche et ingénierie;Chercheur;Encadrer des étudiants en recherche;faible
Recherche et ingénierie;Ingénieur de recherche;Mener des recherches;fort
Recherche et ingénierie;Ingénieur de recherche;Rédiger des rapports de recherche;moyen
Recherche et ingénierie;Ingénieur de recherche;Préparer des présentations de recherche;moyen
Recherche et ingénierie;Ingénieur de recherche;Participer à des comités de recherche;faible
Recherche et ingénierie;Ingénieur de recherche;Encadrer des étudiants en recherche;faible
Recherche et ingénierie;Directeur de recherche;Élaborer des stratégies de recherche;moyen
Recherche et ingénierie;Directeur de recherche;Superviser des équipes de recherche;faible
Recherche et ingénierie;Directeur de recherche;Gérer des budgets de recherche;moyen
Recherche et ingénierie;Directeur de recherche;Négocier des contrats de recherche;faible
Recherche et ingénierie;Directeur de recherche;Préparer des rapports de gestion;moyen
Ressources humaines;Directeur des ressources humaines;Élaborer des stratégies de recrutement;moyen
Ressources humaines;Directeur des ressources humaines;Superviser des équipes de recrutement;faible
Ressources humaines;Directeur des ressources humaines;Gérer des budgets de formation;moyen
Ressources humaines;Directeur des ressources humaines;Négocier des contrats de travail;faible
Ressources humaines;Directeur des ressources humaines;Préparer des rapports de gestion;moyen
Ressources humaines;Responsable de recrutement;Lancer des campagnes de recrutement;moyen
Ressources humaines;Responsable de recrutement;Analyser des CV;moyen
Ressources humaines;Responsable de recrutement;Organiser des entretiens de recrutement;faible
Ressources humaines;Responsable de recrutement;Préparer des offres d'emploi;moyen
Ressources humaines;Responsable de recrutement;Superviser des équipes de recrutement;faible
Ressources humaines;Formateur;Créer des plans de formation;fort
Ressources humaines;Formateur;Donner des formations;faible
Ressources humaines;Formateur;Évaluer des formations;moyen
Ressources humaines;Formateur;Participer à des comités de formation;faible
Ressources humaines;Formateur;Rédiger des rapports de formation;moyen
Scolarité et gestion des étudiants;Secrétaire de scolarité;Gérer des dossiers d'inscription;moyen
Scolarité et gestion des étudiants;Secrétaire de scolarité;Préparer des certificats de scolarité;moyen
Scolarité et gestion des étudiants;Secrétaire de scolarité;Répondre aux demandes d'information;faible
Scolarité et gestion des étudiants;Secrétaire de scolarité;Classer des documents de scolarité;faible
Scolarité et gestion des étudiants;Secrétaire de scolarité;Superviser des équipes de scolarité;faible
Scolarité et gestion des étudiants;Conseiller d'orientation;Donner des conseils d'orientation;faible
Scolarité et gestion des étudiants;Conseiller d'orientation;Encadrer des étudiants;faible
Scolarité et gestion des étudiants;Conseiller d'orientation;Participer à des comités d'orientation;faible
Scolarité et gestion des étudiants;Conseiller d'orientation;Rédiger des rapports d'orientation;moyen
Scolarité et gestion des étudiants;Conseiller d'orientation;Créer des plans d'orientation;fort
Scolarité et gestion des étudiants;Gestionnaire de bourse;Gérer des dossiers de bourse;moyen
Scolarité et gestion des étudiants;Gestionnaire de bourse;Préparer des rapports de bourse;moyen
Scolarité et gestion des étudiants;Gestionnaire de bourse;Répondre aux demandes d'information;faible
Scolarité et gestion des étudiants;Gestionnaire de bourse;Classer des documents de bourse;faible
Scolarité et gestion des étudiants;Gestionnaire de bourse;Superviser des équipes de bourse;faible
